1	12443036
1	16902784
1	19166377
1	145416614
1	156905823
1	201338951
1	225607471
1	236758906
2	27601172
2	29293599
2	43571360
2	98430726
2	179306432
2	179567166
2	179590139
2	198352663
2	219140307
2	220022915
2	231120221
2	241401875
2	241826521
2	242075315
3	40503520
3	44803004
3	52486222
3	122873827
3	182948795
4	8621131
4	39501825
4	114468804
4	123277134
5	76358989
5	98205548
5	125912806
5	145543991
5	146258203
6	489033
6	31599756
6	32713127
6	32713128
6	33377482
6	33411157
6	56365932
6	84896196
6	131481327
7	26224871
7	26248176
7	26248177
7	141756669
7	151800292
7	154862950
8	8749671
8	27637697
8	38913232
8	125081668
8	144511675
9	2039776
9	4605352
9	35906598
9	35906601
9	96019399
9	114304465
9	125890531
9	134388668
9	136633651
9	139396266
9	139943392
9	139944752
10	323464
10	17156095
10	33015754
10	70056041
10	91498735
10	95326494
10	101578700
10	102107858
10	114057917
11	1016715
11	1016719
11	1017952
11	1026987
11	1267817
11	3059308
11	6644464
11	32417885
11	66137005
11	88300239
11	102650052
11	103070158
12	6560489
12	7045891
12	7805403
12	10854602
12	53086339
12	71978399
12	81101681
13	21729290
13	21734127
13	21736016
13	43788214
13	99907195
13	111109205
13	114149939
14	24045068
14	65241903
15	54804026
15	78894569
15	80415126
15	85400413
16	816650
16	15045628
16	30036507
16	87637893
16	88789357
17	7139692
17	7750177
17	7760689
17	18205701
17	26715410
17	28380680
17	38975214
17	44143920
17	72860042
18	21406711
19	872114
19	9968062
19	11040069
19	18343943
19	48184370
19	49001133
19	49850479
19	58199292
20	34057781
21	34625019
22	19978137
22	20460112
22	50962329
X	49061635
X	66766356
X	110654142
X	130409472
X	153219786
